wall_s,sim_s,nodes,orphans,objects,resources,static_mib,video_mib,rooms,room_nodes,kills,attacks
0.003,0.0,2013,0,4754,151,65.5815858840942,0.0,1,594,0,0
30.001,29.5769999999996,2069,0,5063,151,83.5779476165771,212.469924926758,1,594,4,5
60.008,59.5769999999979,2069,0,5062,151,83.5911312103271,212.469924926758,1,594,4,5
90.007,89.5769999999962,2069,0,5060,151,83.5770893096924,212.469924926758,1,594,4,5
120.003,119.593666666661,2069,0,5060,151,83.5775356292725,212.469924926758,1,594,4,5
150.001,149.593666666678,2069,0,5060,151,83.5775356292725,212.469924926758,1,594,4,5
180.0,179.593666666702,2069,0,5060,151,83.5775356292725,212.469924926758,1,594,4,5
210.004,209.593666666726,2069,0,5061,151,83.5892314910889,212.469924926758,1,594,4,5
240.002,238.497000000082,2069,0,5061,151,83.6232738494873,212.475326538086,1,594,4,5
270.001,267.243666666752,2069,0,5060,151,83.612024307251,212.475326538086,1,594,4,5
300.0,295.990333333391,2069,0,5060,151,83.6103076934814,212.474258422852,1,594,4,5
